district;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer: innen;Anteil der Ausländer: innen in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Allein-erziehende;Anteil der Haushalte von Allein-erziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Fortzüge;Wanderungs-saldo;Sozialver-sicherungs-pflichtig Beschäftigte (Dez 2022);Beschäftigten-quote in % (Dez 2022);Arbeitslose (Dez 2022);Arbeitslosen-anteil in % (Dez 2022);Jüngere Arbeitslose (Dez 2022);Arbeitslosen-anteil Jüngerer in % (Dez 2022);Ältere Arbeitslose (Dez 2022);Arbeitslosen-anteil Älterer in % (Dez 2022);Leistungs-empfänger: innen nach SGB II (Dez 2022);Anteil der Leistungs-empfänger: innen nach SGB II in % (Dez 2022);Unter 15-Jährige in Mindest-sicherung (Dez 2022);Anteil der unter 15-Jährigen in Mindest-sicherung in % (Dez 2022);Bedarfs-gemein-schaften nach SGB II (Dez 2022);Empfänger:innen von Grund-sicherung im Alter der 65-Jährigen und Älteren;in % der 65-Jährigen und Älteren;Wohn-gebäude (2022);Wohnungen (2022);Bezugsfertige Wohnungen (2022);Wohnungen in Ein- und Zweifamilien-häusern (2022);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2022);Wohnungs-größe in m² (2022);Wohnfläche je Einwohner:in in m² (2022);Sozial-wohnungen (Jan 2023);Sozial-wohnungs-anteil in % (Jan 2023);Sozial-wohnungen mit Bindungs-auslauf bis 2028;Sozial-wohnungen mit Bindungs-auslauf bis 2028 in %;Preise für Grundstücke in EUR/m² (Jan 2023);Preise für Ein- bzw Zwei-familien-häuser in EUR/m² (Jan 2023);Preise für Eigentums-wohnungen in EUR/m² (Jan 2023);Kindergärten und Vorschul-klassen (März 2023);Grundschulen (2022/2023);Schüler:innen der Sekundar-stufe I (2022/2023);Anteil der Schüler:innen in Stadtteil-schulen in % (2022/2023);Anteil der Schüler:innen in Gymnasien in % (2022/2023);Nieder-gelassene Ärztinnen/Ärzte (Jan 2023);Allgemein-ärztinnen/-ärzte (Jan 2023);Zahn-ärztinnen/-ärzte (Dez 2022);Apotheken (Dez 2022);Private PKW (Jan 2023);PKW-Dichte (Jan 2023);Elektro-PKW  (Jan 2023)
Bahrenfeld;31 311;5 582;17,8;3 981;12,7;7 747;24,7;12 222;39;2 982;53,5;17 297;1,7;10 153;58,7;2 986;17,3;746;25;10,5;2 970;367;286;5 677;3 794;1 883;13 389;59,4;1 840;8,2;137;4,4;316;7,9;4 328;13,8;1 135;23,7;2 450;404;10,1;3 598;15 034;157;2 338;15,6;70;33,6;425;2,8;91;21,4;1 204;5 991;5 558;28;3;1 529;53,1;42,6;44;11;22;3;8 653;276;470
Groß Flottbek;11 152;2 198;19,7;2 300;20,6;1 572;14,1;2 929;26,3;720;32,9;5 361;2,1;2 372;44,2;1 262;23,5;191;15,1;2,4;4 704;71;98;1 237;1 103;134;3 702;52,5;130;1,8;.    ;.    ;35;2,2;166;1,5;42;2,3;94;43;1,9;2 495;5 396;103;2 248;41,7;106;51,3;36;0,7;26;72,2;2 013;9 291;6 669;8;1;712;10,7;86,1;60;12;20;5;4 758;427;125
Othmarschen;16 590;3 447;20,8;3 334;20,1;2 525;15,2;4 915;29,6;1 410;40,9;7 687;2,1;3 256;42,4;1 923;25;298;15,5;5,9;2 790;169;148;1 834;1 652;182;5 688;55,3;261;2,5;.    ;.    ;56;2,8;635;3,8;258;8,7;269;82;2,5;2 817;7 778;53;2 395;30,8;110,5;51,8;340;4,4;58;17,1;2 247;9 761;7 676;14;4;1 009;18;77,8;41;8;8;2;7 057;425;354
Lurup;37 154;7 680;20,7;6 643;17,9;8 875;23,9;19 562;52,7;5 387;70,7;18 208;2;8 397;46,1;4 326;23,8;1 283;29,7;6,3;5 905;377;460;3 240;2 657;583;14 197;59;1 848;7,7;164;4,1;283;5,7;5 893;15,9;1 971;30,5;2 737;808;12,2;5 706;17 111;394;5 424;31,7;77,4;35,7;2 206;12,9;882;40;782;4 991;3 893;21;4;2 356;64,9;30,7;35;19;11;3;12 107;326;164
Osdorf;26 148;5 200;19,9;5 677;21,7;5 031;19,2;11 204;42,8;3 050;58,8;13 243;2;6 303;47,6;3 009;22,7;864;28,7;7,3;3 606;186;365;2 152;1 930;222;9 323;57,6;1 005;6,2;94;3,3;184;5,2;3 062;11,7;942;22;1 458;549;9,7;4 144;12 932;187;3 434;26,6;85,2;42,1;933;7,2;29;3,1;1 383;6 000;5 792;17;4;1 756;50,7;43,8;67;17;16;6;9 295;355;207
Nienstedten;7 055;1 354;19,2;1 838;26,1;771;10,9;1 533;21,7;417;30,8;3 502;2,1;1 565;44,7;792;22,6;123;15,5;4,4;1 611;46;118;759;699;60;1 909;45,8;84;2;.    ;.    ;25;2,2;87;1,2;23;2,2;49;12;0,7;1 843;3 289;17;1 747;53,1;125,3;58,4;8;0,2;-    ;-    ;2 169;10 580;8 078;7;1;457;16,4;73,3;18;2;6;2;3 601;510;147
Blankenese;13 733;2 535;18,5;3 725;27,1;1 421;10,3;2 933;21,3;799;31,6;6 963;2;3 141;45,1;1 448;20,8;228;15,7;7,7;1 775;95;123;1 279;1 152;127;3 933;49,4;187;2,3;.    ;.    ;56;2,7;314;2,3;91;4,5;187;68;1,8;3 486;7 024;27;3 191;45,4;118,6;60,6;80;1,1;-    ;-    ;2 542;9 228;7 413;9;1;900;19;77;116;21;26;5;6 781;494;199
Iserbrook;11 569;2 149;18,6;2 834;24,5;1 368;11,8;3 100;26,8;853;39,8;5 783;2;2 678;46,3;1 275;22;293;23;2,7;4 333;82;188;1 163;790;373;4 209;60,3;259;3,7;20;1,9;59;3,3;656;5,7;206;11,8;346;122;4,3;2 561;5 880;63;2 393;40,7;84,6;43;183;3,1;-    ;-    ;1 039;6 458;5 621;8;3;695;47,3;46,8;9;6;5;-    ;4 651;402;73
Sülldorf;9 418;1 830;19,4;1 995;21,2;1 388;14,7;2 563;27,2;693;37,9;4 558;2;2 135;46,8;981;21,5;228;23,2;5,7;1 642;81;66;816;819; –    3    ;3 304;55,9;273;4,6;17;1,8;52;3,5;773;8,2;236;15,6;426;90;4,5;2 450;4 581;43;2 303;50,3;91,2;44,4;218;4,8;163;74,8;1 299;5 940;4 746;4;1;615;42,4;54;17;8;7;2;3 758;399;93
Rissen;16 397;3 183;19,4;4 660;28,4;2 073;12,6;3 960;24,1;1 262;39,7;8 132;2;3 682;45,3;1 759;21,6;349;19,8;16,7;982;125;248;1 643;1 141;502;5 019;55;366;4;18;1,2;77;3,3;1 059;6,5;358;13,7;462;168;3,6;3 903;8 227;106;3 606;43,8;99,5;49,9;158;1,9;46;29,1;1 156;7 488;5 556;9;2;1 055;38;58;34;9;13;4;7 081;432;190
Eimsbüttel;57 875;7 335;12,7;7 565;13,1;7 499;13;14 922;25,8;2 617;35,7;38 788;1,5;26 225;67,6;4 938;12,7;1 301;26,3;3,2;17 943;627;340;7 240;6 805;435;29 058;66,1;1 834;4,2;81;1,6;365;5,2;2 368;4,1;429;6,8;1 655;719;9,5;3 288;34 802;207;314;0,9;64,1;38,5;638;1,8;151;23,7;1 983;6 107;6 836;64;7;2 058;31,7;63,2;332;35;63;13;14 633;253;257
Rotherbaum;17 153;2 288;13,3;2 779;16,2;2 890;16,8;5 377;31,3;875;38,1;10 983;1,6;7 048;64,2;1 502;13,7;311;20,7;2,7;6 271;140;100;2 666;2 643;23;6 895;55,2;396;3,2;.    ;.    ;100;4,7;389;2,3;53;2,8;293;146;5,3;1 232;10 202;76;345;3,4;83,7;49,8;13;0,1;-    ;-    ;6 039;.    ;9 930;16;1;659;17;80,9;146;16;45;6;5 491;320;361
Harvestehude;17 994;2 717;15,1;3 734;20,8;2 656;14,8;5 231;29,1;1 042;38,5;10 816;1,7;6 406;59,2;1 653;15,3;362;21,9;2,1;8 775;169;141;2 283;1 991;292;6 481;54;444;3,7;20;1,2;107;4,1;641;3,6;139;6,1;414;223;6;1 351;10 171;-2;538;5,3;96,4;54,5;30;0,3;11;36,7;7 207;16 049;11 424;17;-    ;812;18,2;78,8;137;16;48;3;6 825;379;232
Hoheluft-West;13 597;1 706;12,5;1 899;14;1 805;13,3;3 364;24,7;581;34,2;8 991;1,5;5 949;66,2;1 165;13;265;22,7;0,7;18 897;156;109;2 176;1 909;267;6 816;66,7;404;4;.    ;.    ;72;4,6;543;4;99;6,7;355;114;6;811;8 118;20;111;1,4;66,3;39,6;12;0,1;-    ;-    ;2 199;.    ;8 418;8;1;432;24,1;72;27;3;10;3;3 530;260;85
Lokstedt;31 317;5 497;17,6;5 928;18,9;5 247;16,8;10 506;33,5;2 435;44,4;16 495;1,8;8 813;53,4;3 240;19,6;640;19,8;4,9;6 396;345;345;3 753;3 119;634;13 090;63,4;869;4,2;59;1,9;179;4,9;2 001;6,4;537;11,3;1 094;411;6,9;3 330;16 086;189;2 180;13,6;74,5;38,3;770;4,8;65;8,4;1 252;6 747;6 209;27;3;1 650;33,6;59,3;54;18;17;6;9 818;314;302
Niendorf;42 184;6 861;16,3;10 560;25;5 460;12,9;11 051;26,2;2 741;40;22 593;1,9;11 094;49,1;4 117;18,2;873;21,2;12,4;3 397;315;571;5 554;4 331;1 223;16 250;62,8;964;3,7;76;2;241;3,9;1 914;4,5;504;8,8;1 068;332;3,1;8 762;21 365;121;7 571;35,4;86,1;43,6;200;0,9;56;28;999;5 666;4 934;20;5;2 160;37,1;60,5;90;25;36;7;17 370;412;370
Schnelsen;30 690;5 920;19,3;6 193;20,2;5 296;17,3;11 285;36,7;3 192;54;14 920;2;6 492;43,5;3 378;22,6;838;24,8;9;3 429;278;326;3 021;2 422;599;12 262;62,9;1 086;5,6;92;2,9;224;5,1;3 061;10;959;19,2;1 445;396;6,4;6 041;14 319;167;5 485;38,3;88,6;41,3;1 831;12,8;944;51,6;864;5 399;4 471;29;4;1 866;53,3;42,7;55;17;26;6;12 453;406;270
Eidelstedt;36 098;6 728;18,6;7 208;20;8 051;22,3;15 923;44,2;4 263;63,7;18 415;1,9;9 037;49,1;3 856;20,9;1 011;26,2;8,7;4 139;380;402;3 413;3 016;397;14 311;62;1 518;6,6;124;3,5;262;5,8;4 519;12,5;1 465;25,3;2 115;618;8,6;5 214;16 619;71;4 472;26,9;75,4;34,7;1 884;11,3;577;30,6;843;5 222;4 629;13;5;1 919;58,4;37,7;59;11;20;6;12 140;336;223
Stellingen;27 993;4 363;15,6;4 992;17,8;6 151;22;10 874;38,8;2 417;55,5;15 631;1,7;8 869;56,7;2 581;16,5;585;22,7;6,1;4 597;295;275;4 384;3 356;1 028;12 295;64;1 067;5,6;59;2,1;197;6;2 531;9;676;17,9;1 408;391;7,8;2 878;14 958;206;1 715;11,5;69,6;37,2;506;3,4;18;3,6;949;5 861;5 336;14;3;1 219;46,3;47;33;10;6;3;8 312;297;177
Hoheluft-Ost;9 782;1 248;12,8;1 671;17,1;1 108;11,3;2 405;24,6;423;33,9;6 343;1,6;3 990;62,9;870;13,7;199;22,9;0,6;17 298;136;66;1 274;1 266;8;4 573;65;217;3,1;.    ;.    ;58;4,5;284;2,9;45;4,2;209;130;7,8;637;6 159;14;96;1,6;73,3;46,1;154;2,5;64;41,6;2 611;.    ;8 418;6;1;326;19,3;79,1;208;61;23;3;3 008;308;84
Eppendorf;24 639;3 344;13,6;4 558;18,5;2 523;10,2;5 611;22,8;1 128;33,7;15 487;1,6;9 699;62,6;2 160;13,9;470;21,8;2,7;9 231;291;276;3 366;3 262;104;11 214;65,2;452;2,6;.    ;.    ;123;4,2;482;2;81;2,8;348;331;7,3;1 652;14 391;6;382;2,7;80,1;46,8;611;4,2;126;20,6;3 391;11 907;8 400;15;4;945;19,8;75,6;178;27;47;10;7 727;314;340
Groß Borstel;10 812;2 051;19;1 869;17,3;2 095;19,4;3 654;33,8;952;46,3;5 313;1,9;2 707;51;1 096;20,6;279;25,5;4;2 713;125;94;2 123;1 499;624;4 113;57,4;395;5,5;23;2,1;66;4,8;903;8,4;253;14,3;520;184;9,8;1 818;5 155;24;1 604;31,1;74,9;35,7;450;8,7;450;100;1 074;6 420;5 315;9;1;571;41,5;54,3;4;2;7;2;3 715;344;176
Alsterdorf;15 136;2 435;16,1;2 954;19,5;2 065;13,6;4 409;29,1;1 043;43,1;8 076;1,8;4 340;53,7;1 472;18,2;354;24;3,2;4 797;162;182;1 857;1 676;181;6 167;61;389;3,8;19;1,2;95;4,8;847;5,6;242;11,7;436;181;6,1;2 030;8 090;105;1 316;16,3;77,6;41,4;810;10;26;3,2;1 466;8 618;7 341;11;-    ;794;34,3;61,7;42;10;10;5;5 431;359;183
Winterhude;58 052;7 685;13,2;8 281;14,3;7 790;13,4;16 018;27,6;3 205;41,8;36 385;1,6;23 168;63,7;4 983;13,7;1 079;21,7;7,6;7 654;627;386;8 136;7 119;1 017;28 280;65,8;1 583;3,7;84;1,6;356;5,2;2 678;4,6;595;8,8;1 637;577;7;3 759;34 553;627;739;2,1;70,1;41,7;1 479;4,3;269;18,2;2 579;10 383;8 382;45;5;1 922;42,4;54,9;237;40;74;12;17 680;305;600
Uhlenhorst;18 936;2 567;13,6;3 444;18,2;2 537;13,4;5 477;28,9;1 174;45,8;11 789;1,6;7 186;61;1 643;13,9;329;20;2,2;8 684;197;209;2 736;2 344;392;8 535;64,3;398;3;23;1,5;88;3,8;626;3,3;162;7,3;363;165;4,8;1 274;11 242;250;297;2,6;79,3;47,1;376;3,3;-    ;-    ;3 168;.    ;8 650;12;1;710;28,3;70,4;101;24;18;4;6 294;332;239
Hohenfelde;10 041;1 274;12,7;1 493;14,9;2 231;22,2;4 062;40,3;788;61,9;6 371;1,5;4 253;66,8;713;11,2;172;24,1;1,2;8 695;108;94;1 733;1 578;155;4 815;64,5;372;5;15;1,5;66;6;802;8;199;18,3;449;132;8,8;706;5 926;67;151;2,5;67,6;39,9;110;1,9;-    ;-    ;1 955;.    ;8 600;4;-    ;375;48;49,9;36;9;13;1;2 630;262;106
Barmbek-Süd;36 452;4 077;11,2;5 020;13,8;6 264;17,2;11 809;32,4;2 113;52,1;24 593;1,5;16 777;68,2;2 721;11,1;769;28,3;3,1;11 790;355;333;5 610;4 888;722;19 155;68,7;1 345;4,8;84;2,5;269;6,5;2 644;7,3;551;15,5;1 701;535;10,7;2 169;22 955;69;126;0,5;59,7;37,6;1 078;4,7;106;9,8;1 573;6 356;6 347;29;2;1 057;50,1;47,2;54;15;25;6;10 073;276;675
Dulsberg;17 149;1 951;11,4;2 249;13,1;4 360;25,4;8 043;46,9;1 464;75,3;11 926;1,5;8 605;72,2;1 236;10,4;554;44,8;1,2;13 990;150;142;2 299;1 998;301;8 539;64,3;1 202;9,1;64;3,2;262;12,6;2 759;16,1;627;38,7;1 684;469;20,9;1 088;10 847;-18;56;0,5;53,9;34,1;791;7,3;112;14,2;1 225;.    ;4 966;7;1;623;75,3;22;27;6;5;3;3 783;221;32
Barmbek-Nord;43 222;4 797;11,1;5 513;12,8;7 052;16,3;13 921;32,3;2 475;52,2;29 609;1,5;20 645;69,7;3 241;10,9;938;28,9;3,9;11 223;458;408;6 307;5 103;1 204;23 076;69;1 731;5,2;119;2,9;339;6,8;3 323;7,7;639;15;2 255;667;12,1;2 765;28 445;543;285;1;57,2;37,6;1 358;4,8;147;10,8;1 121;7 187;5 898;15;2;1 097;57;39,1;92;26;39;10;11 188;259;219
Ohlsdorf;17 548;3 011;17,2;2 829;16,1;2 908;16,6;5 236;29,9;1 232;41,1;9 534;1,8;5 241;55;1 812;19;400;22,1;7,2;2 451;153;172;2 895;2 324;571;7 340;60,2;698;5,7;56;3,4;117;5,2;1 547;8,8;404;16;861;153;5,4;2 448;9 336;180;1 697;18,2;72,4;38,5;733;7,9;80;10,9;1 203;6 967;5 216;13;2;927;49,9;48;13;6;6;4;5 639;321;172
Fuhlsbüttel;13 603;2 407;17,7;2 514;18,5;2 737;20,1;4 325;31,9;1 211;50,6;7 292;1,8;4 058;55,7;1 220;16,7;290;23,8;7,8;1 750;130;143;1 754;1 615;139;5 779;63,6;488;5,4;29;2,1;86;4,9;1 253;9,2;427;21,3;561;169;6,7;2 113;6 998;52;1 542;22;77,1;39,7;221;3,2;57;25,8;1 062;5 948;4 703;8;2;792;46,2;49,9;25;4;16;4;4 801;353;147
Langenhorn;47 192;8 574;18,2;8 807;18,7;8 596;18,2;16 927;35,9;4 356;50,9;23 897;1,9;11 494;48,1;4 937;20,7;1 238;25,1;13,4;3 530;454;521;5 001;3 888;1 113;19 476;62,6;1 758;5,7;143;3,1;368;5,4;4 687;9,9;1 433;19,7;2 375;710;8,1;9 530;22 442;68;8 583;38,2;76,3;36,3;2 319;10,3;340;14,7;710;4 814;4 698;29;5;2 481;54,1;42,7;104;23;23;8;17 350;368;351
Eilbek;22 701;2 785;12,3;3 220;14,2;4 139;18,2;8 186;36;1 581;56,7;14 768;1,6;9 646;65,3;1 812;12,3;495;27,3;1,8;12 962;261;194;3 438;2 995;443;11 763;69,1;738;4,3;46;2,3;148;5,8;1 612;7,1;401;16,2;933;295;9,2;1 587;13 605;88;207;1,5;62,9;37,7;410;3;81;19,8;1 573;8 127;5 982;13;3;740;48,6;49,7;33;10;26;3;6 193;273;126
Wandsbek;38 201;5 508;14,4;6 503;17;8 098;21,2;15 623;40,9;3 560;65;22 579;1,6;13 825;61,2;3 142;13,9;840;26,7;5,9;6 427;390;381;5 216;4 418;798;17 622;65,4;1 463;5,4;82;2,1;267;5,8;3 946;10,3;1 157;24,2;2 039;610;9,4;4 035;21 391;195;2 286;10,7;65,1;36,5;1 339;6,3;475;35,5;906;4 722;5 387;18;4;1 450;57,6;39,2;71;26;44;9;11 750;308;357
Marienthal;13 618;2 211;16,2;2 632;19,3;2 116;15,5;4 589;33,7;1 049;47,6;7 221;1,8;3 769;52,2;1 337;18,5;264;19,7;3,2;4 238;126;172;1 826;1 636;190;5 633;61,7;315;3,5;16;1;74;4,4;671;4,9;192;10,3;378;122;4,6;2 198;7 338;154;1 616;22;86,8;46,8;92;1,3;-    ;-    ;1 269;5 783;5 317;9;1;663;32,4;66,5;95;20;17;3;5 442;400;149
Jenfeld;28 843;5 834;20,2;4 947;17,2;8 681;30,1;17 966;62,3;4 728;81,4;13 826;2;6 615;47,8;3 019;21,8;899;29,8;5;5 779;299;328;3 502;2 704;798;10 268;54,1;1 615;8,5;106;2,8;318;8,9;5 287;18,3;1 669;33,9;2 339;946;19,1;2 932;12 387;274;2 267;18,3;73,4;31,5;1 453;11,7;469;32,3;785;4 966;4 659;19;4;1 833;69,6;27,2;31;15;18;5;8 478;294;93
Tonndorf;15 378;2 670;17,4;2 660;17,3;3 267;21,2;6 957;45,3;1 706;64;8 479;1,8;4 576;54;1 606;18,9;418;26;3,9;3 902;159;139;1 683;1 544;139;6 627;63;587;5,6;42;2,4;122;5,9;1 601;10,4;449;20,4;799;268;10,1;2 395;7 974;34;1 842;23,1;75,6;39,2;806;10,1;248;30,8;861;4 869;4 316;5;1;912;58,4;38,3;14;7;14;2;5 665;368;225
Farmsen-Berne;37 219;6 952;18,7;7 163;19,2;5 969;16;13 782;37;3 730;54;18 992;1,9;8 992;47,3;4 052;21,3;1 085;26,8;8,2;4 524;338;418;4 135;2 650;1 485;15 199;62,9;1 299;5,4;115;3,1;267;5,1;3 925;10,5;1 246;21,2;1 875;554;7,7;6 625;17 538;41;5 855;33,4;76,7;36,2;1 679;9,6;696;41,5;863;5 144;4 190;25;4;2 130;55,9;40,7;37;7;14;5;13 730;369;172
Bramfeld;52 980;8 207;15,5;11 262;21,3;8 287;15,6;18 350;34,7;4 316;52,8;30 206;1,8;16 442;54,4;5 122;17;1 479;28,9;10,1;5 263;493;652;4 852;4 229;623;22 469;64,7;2 065;5,9;155;3,3;461;5,7;5 184;9,8;1 391;19,9;2 977;854;7,6;9 278;29 119;156;7 700;26,4;71,6;39,4;1 732;5,9;897;51,8;891;5 383;4 796;29;6;2 405;53,9;42,1;61;30;41;10;20 578;388;524
Steilshoop;19 667;4 039;20,5;3 812;19,4;5 536;28,1;11 360;57,8;3 140;78,1;9 829;2;4 681;47,6;2 161;22;727;33,6;2,5;7 872;222;212;1 439;1 415;24;7 035;56,3;1 262;10,1;105;4,7;242;9,6;4 082;20,8;1 332;39,7;1 772;562;14,7;963;8 929;39;337;3,8;74,1;33,6;2 450;27,4;1 258;51,3;813;.    ;4 035;11;3;1 312;70,7;25,5;9;8;6;2;5 551;282;46
Wellingsbüttel;11 130;2 114;19;2 975;26,7;942;8,5;2 388;21,5;671;31,9;5 376;2,1;2 203;41;1 227;22,8;169;13,8;4,1;2 724;108;155;996;833;163;3 622;56,4;152;2,4;.    ;.    ;58;3,7;255;2,3;64;3,7;141;35;1,2;2 992;5 480;69;2 808;51,2;120,4;59,3;-    ;-    ;-    ;-    ;1 526;7 946;4 989;8;1;692;25,9;71,5;26;7;11;2;5 660;509;162
Sasel;24 355;4 737;19,4;6 343;26;1 804;7,4;4 931;20,2;1 451;30,7;11 432;2,2;4 219;36,9;2 791;24,4;397;14,2;8,4;2 912;142;240;1 774;1 554;220;8 327;59;330;2,3;22;1;101;2,6;513;2,1;138;3,5;280;98;1,5;7 814;11 591;106;7 876;67,9;112,9;53,7;147;1,3;-    ;-    ;1 051;6 357;4 858;14;3;1 653;28,8;68,5;33;7;15;2;12 556;516;413
Poppenbüttel;24 349;4 213;17,3;7 677;31,5;2 522;10,4;6 367;26,1;1 843;43,8;11 549;2;4 832;41,8;2 407;20,8;412;17,1;8,1;3 004;168;573;2 115;1 559;556;7 956;60,5;404;3,1;25;1,2;103;3,1;1 086;4,5;351;10;475;134;1,7;6 343;11 045;46;6 239;56,5;103,8;47,1;437;4;177;40,5;1 010;5 694;5 476;12;3;1 418;33,7;63,7;138;29;45;7;11 136;457;361
Hummelsbüttel;18 709;3 487;18,6;4 504;24,1;3 467;18,5;7 465;40;1 981;57,2;9 026;2;3 835;42,5;1 976;21,9;504;25,5;9,1;2 060;170;230;1 809;1 533;276;6 854;60,7;663;5,9;40;2,3;142;5,5;1 933;10,3;613;21;881;311;6,9;2 913;8 900;32;2 311;26;88,3;42;1 547;17,4;186;12;998;5 412;4 899;11;1;1 113;50,4;46,3;13;9;12;2;7 436;397;194
Lemsahl-Mellingstedt;7 070;1 452;20,5;1 578;22,3;457;6,5;1 350;19,1;438;30,3;3 124;2,3;944;30,2;837;26,8;115;13,7;8;884;53;56;581;508;73;2 409;56,5;83;1,9;.    ;.    ;25;2;158;2,2;52;4,2;69;16;1;2 569;3 075;52;2 696;87,7;132;57,4;40;1,3;-    ;-    ;863;5 870;3 984;6;1;461;28,6;69;3;2;2;1;4 072;576;147
Duvenstedt;5 982;1 222;20,4;1 189;19,9;504;8,4;1 063;17,8;376;30,8;2 602;2,2;859;33;668;25,7;137;20,5;6,8;882;28;69;412;379;33;2 150;56,4;101;2,6;.    ;.    ;24;2,1;304;5,1;123;12,6;92;25;2,1;1 852;2 653;19;1 902;71,7;119,1;52,8;82;3,1;24;29,3;861;5 631;4 818;3;1;444;33,6;63,3;16;5;8;2;3 275;547;136
Wohldorf-Ohlstedt;4 804;1 011;21;1 066;22,2;280;5,8;810;16,8;277;27,5;2 161;2,3;723;33,5;585;27,1;84;14,4;17,3;278;32;26;317;359; –    42    ;1 513;52,3;49;1,7;.    ;.    ;16;2,1;108;2,2;42;5;50;9;0,8;1 631;2 109;11;1 676;79,5;143,7;63,1;28;1,3;-    ;-    ;960;6 800;4 867;5;1;317;20,8;69,4;-    ;-    ;6;-    ;2 693;561;91
Bergstedt;10 767;2 280;21,2;2 367;22;1 042;9,7;2 136;19,8;737;32,3;4 864;2,2;1 828;37,6;1 248;25,7;241;19,3;7;1 530;65;98;799;742;57;3 765;57,9;202;3,1;23;2,1;48;2,8;590;5,5;218;11,5;236;45;1,9;2 949;4 793;78;2 897;60,4;103,5;46,1;187;3,9;69;36,9;921;5 506;4 645;12;1;880;37,4;53,2;9;5;5;2;4 956;460;135
Volksdorf;20 814;4 043;19,4;5 673;27,3;1 794;8,6;4 062;19,5;1 257;31,1;9 592;2,1;3 760;39,2;2 201;22,9;417;18,9;11,6;1 798;115;284;1 518;1 227;291;6 435;54,3;357;3;32;1,5;89;2,6;909;4,4;325;9,9;405;99;1,7;5 707;9 348;56;5 483;58,7;113,7;51,1;359;3,8;57;15,9;1 173;6 640;5 823;14;4;1 428;29,3;63,1;88;26;25;4;9 421;453;257
Rahlstedt;96 499;17 822;18,5;20 142;20,9;18 827;19,5;38 162;39,4;9 932;55,7;47 829;1,9;22 410;46,9;9 856;20,6;2 766;28,1;26,6;3 632;939;1 149;20 850;16 464;4 386;36 647;59,7;3 251;5,3;249;2,4;685;5;9 488;9,8;2 911;19,5;4 617;1 537;7,6;15 707;45 675;310;12 931;28,3;81,4;38,6;3 435;7,5;1 419;41,3;852;4 943;4 204;40;12;5 264;53,3;41,5;170;54;69;16;36 817;382;649
Lohbrügge;41 179;6 821;16,6;9 221;22,4;6 734;16,4;18 381;44,6;4 385;64,5;21 718;1,9;10 712;49,3;4 069;18,7;1 165;28,6;13;3 157;404;561;3 892;3 044;848;16 842;64,2;1 509;5,8;85;2,1;340;5,8;4 273;10,4;1 232;21,5;2 188;783;8,5;5 923;21 178;159;4 560;21,5;75,7;38,9;1 512;7,1;225;14,9;779;4 478;4 153;16;4;2 083;60;36,5;39;13;27;5;15 301;372;210
Bergedorf;36 757;6 532;17,8;7 403;20,1;6 547;17,8;13 712;37,2;3 460;52,8;19 021;1,9;9 461;49,7;3 707;19,5;957;25,8;10,4;3 548;356;455;4 379;3 714;665;14 838;62,2;1 363;5,7;78;2,1;296;6,2;3 775;10,3;1 122;20,4;1 938;541;7,3;5 324;18 048;135;4 165;23,1;79,4;39;701;3,9;58;8,3;866;4 651;4 587;22;4;2 032;49,6;44,9;163;38;49;11;12 785;348;396
Curslack;4 143;867;20,9;644;15,5;857;20,7;1 246;30;388;44,8;1 725;2,1;642;37,2;405;23,5;82;20,2;10,6;392;58;27;532;459;73;1 671;60,5;119;4,3;.    ;.    ;21;3;409;9,9;169;22,9;177;11;1,7;997;1 569;10;1 018;64,9;105,3;39,9;5;0,3;5;100;536;4 506;.    ;1;1;260;56,2;38,1;8;5;-    ;-    ;1 963;474;58
Altengamme;2 341;446;19,1;467;19,9;157;6,7;294;12,6;75;17;1 057;2,2;372;35,2;255;24,1;37;14,5;15,6;150;18;14;152;126;26;975;65,9;31;2,1;.    ;.    ;.    ;.    ;53;2,3;19;4,8;22;7;1,5;670;961;20;729;75,9;108,1;44,4;4;0,4;4;100;457;3 781;.    ;1;1;140;57,9;37,9;3;3;-    ;-    ;1 319;563;31
Neuengamme;3 720;632;17;813;21,9;209;5,6;461;12,4;129;20,5;1 765;2,1;652;36,9;384;21,8;68;17,7;18,6;200;26;31;284;268;16;1 510;63,6;74;3,1;.    ;.    ;20;3,1;143;3,8;46;8,7;68;14;1,7;1 097;1 639;7;1 178;71,9;107,4;47,3;20;1,2;-    ;-    ;505;3 923;.    ;2;-    ;200;60;34;1;1;4;1;2 105;566;41
